creator_id,content_vertical,region,tenure_days,live_sessions_28d,avg_session_min,avg_concurrent_viewers,total_watch_time_hrs_28d,new_followers_28d,follower_base,follower_growth_rate_28d,unique_gifters_28d,diamonds_28d,repeat_gifter_rate,comments_per_session,community_guideline_strikes_90d,est_monthly_revenue_usd,days_since_last_live,R_score,F_score,M_score,RFM_score,cluster,segment,high_potential,high_potential_proba
C100034,Cooking & Food,Poland,433,9,17.531405486133046,26.537706176247035,69.8,7,50,0.14,3,1055.0,0.226,10.3,0,5.28,3,2,2,4,8,1,At Risk / Dormant,0,0.03383368314328347
C100035,Comedy & Lifestyle,UK,281,7,82.54204278120326,56.06100762217624,539.9,21,231,0.0909,8,126.0,0.532,83.4,0,0.63,4,2,1,1,4,1,At Risk / Dormant,0,0.6090886767180889
C100036,Beauty & Fashion,Poland,454,16,27.660014368066918,29.820064226934747,220.0,169,3102,0.0545,3,1970.0,0.373,37.5,0,9.85,9,1,5,5,11,4,Star Creators,0,0.0056618019461326516
C100037,Gaming,France,375,11,80.3987642681134,30.208550452396743,445.3,46,196,0.2347,7,2001.0,0.131,21.2,0,10.01,2,3,4,5,12,4,Star Creators,0,0.10210373001347288
C100038,Education/Talk,France,226,8,15.916927369419048,31.382376798821312,66.6,61,704,0.0866,4,359.0,0.415,67.9,0,1.8,12,1,2,2,5,1,At Risk / Dormant,0,0.41567661235092696
C100039,Music & Dance,Germany,583,11,65.49712493219194,320.73141143489767,3851.3,32,389,0.0823,9,2130.0,0.626,58.3,0,10.65,0,4,4,5,13,0,High-Reach Veterans,0,0.0763182434400407
C100040,Gaming,Germany,238,9,50.9950729137237,90.47751453788985,692.1,34,453,0.0751,2,474.0,0.3,21.5,0,2.37,2,3,2,2,7,3,Steady Core,0,0.06813398149240367
C100041,Music & Dance,UK,334,13,61.83605139832546,68.73363091329837,920.9,23,207,0.1111,5,375.0,0.393,40.7,0,1.88,1,3,5,2,10,4,Star Creators,0,0.149391316072795
C100042,Gaming,Poland,449,12,59.42440872017269,68.62078724933805,815.5,36,598,0.0602,4,2551.0,0.213,31.7,0,12.76,0,4,4,5,13,4,Star Creators,0,0.03494214093536352
C100043,Cooking & Food,France,58,11,26.1571317224933,38.886892518619774,186.5,10,50,0.2,1,624.0,0.105,76.0,0,3.12,1,3,4,3,10,3,Steady Core,0,0.1972794758044291
C100044,Beauty & Fashion,UK,382,11,15.367342369955026,43.08414805487555,121.4,38,824,0.0461,5,1269.0,0.19,46.4,1,6.34,4,2,4,4,10,1,At Risk / Dormant,0,0.07912195865299108
C100045,Education/Talk,Spain,269,6,37.65985744940291,90.80212460780245,342.0,32,476,0.0672,4,62.0,0.279,8.2,0,0.31,2,3,1,1,5,3,Steady Core,0,0.06571296261777479
C100046,Beauty & Fashion,UK,273,7,38.34545386377701,65.22693532329015,291.8,61,297,0.2054,4,572.0,0.346,24.3,0,2.86,0,4,1,3,8,3,Steady Core,0,0.09038730412699368
C100047,Music & Dance,Italy,365,10,36.29902988746766,114.67890710739282,693.8,8,50,0.16,4,2810.0,0.174,46.4,0,14.05,0,4,3,5,12,4,Star Creators,0,0.2172226280008039
C100048,Music & Dance,UK,323,7,50.91230241811731,64.26954011418259,381.7,13,187,0.0695,5,1283.0,0.205,24.2,0,6.42,10,1,1,4,6,1,At Risk / Dormant,0,0.05915364082859938
C100049,Beauty & Fashion,Italy,330,11,39.9443829676211,230.9556245439124,1691.3,41,446,0.0919,5,665.0,0.405,27.1,0,3.32,1,3,4,3,10,0,High-Reach Veterans,0,0.2359996793994939
C100050,Cooking & Food,Italy,672,13,20.28212313674991,35.52186519030723,156.1,23,973,0.0236,5,852.0,0.518,27.9,0,4.26,0,4,5,4,13,4,Star Creators,0,0.0099820704626708
C100051,Comedy & Lifestyle,Italy,658,10,47.06325460916052,155.113498870932,1216.7,26,501,0.0519,6,934.0,0.304,36.7,0,4.67,0,4,3,4,11,4,Star Creators,0,0.023453447645726194
C100052,Cooking & Food,Spain,569,11,29.442228662351297,53.74856272953569,290.1,164,3076,0.0533,6,44.0,0.509,47.7,0,0.22,1,3,4,1,8,3,Steady Core,0,0.029038766031364543
C100053,Cooking & Food,UK,635,15,23.275272172101964,96.59242721487226,562.1,100,2535,0.0394,5,1120.0,0.446,24.4,0,5.6,1,4,5,4,13,4,Star Creators,0,0.008812962613949683
C100054,Education/Talk,UK,427,10,51.49168978069589,97.17753829274317,834.0,41,984,0.0417,5,738.0,0.148,35.7,0,3.69,1,4,3,3,10,3,Steady Core,0,0.10816642360902269
C100055,Cooking & Food,Spain,52,8,22.17787523336699,113.09148144529846,334.4,11,50,0.22,2,57.0,0.099,47.8,0,0.29,1,4,2,1,7,3,Steady Core,0,0.19161285570918057
C100056,Gaming,France,606,15,33.77998338171492,131.64817418385607,1111.8,180,7088,0.0254,11,1352.0,0.458,38.6,0,6.76,2,3,5,4,12,4,Star Creators,0,0.02214605162650884
C100057,Beauty & Fashion,Germany,726,8,36.080762752799835,81.15100340288409,390.4,18,532,0.0338,7,883.0,0.552,39.4,0,4.42,5,2,2,4,8,1,At Risk / Dormant,0,0.02502417861432285
C100058,Gaming,UK,275,7,66.7376091717763,42.40896287499482,330.2,73,1182,0.0618,10,240.0,0.407,78.1,2,1.2,0,4,1,1,6,3,Steady Core,0,0.6000108224636403
C100059,Beauty & Fashion,Germany,607,12,37.89176116586447,378.0052248461617,2864.7,188,4553,0.0413,16,46.0,0.551,44.2,0,0.23,0,4,4,1,9,0,High-Reach Veterans,0,0.0372457300869228
C100060,Music & Dance,Poland,387,10,55.801622483256025,137.36254746707095,1277.5,46,974,0.0472,1,585.0,0.535,18.6,0,2.92,4,2,3,3,8,1,At Risk / Dormant,0,0.15282605981955866
C100061,Beauty & Fashion,Poland,124,13,30.535361960052555,76.37976562188217,505.3,34,50,0.68,5,420.0,0.071,16.5,0,2.1,0,4,5,2,11,2,Rising Talent,1,0.7230696284526958
C100062,Comedy & Lifestyle,Spain,572,8,38.89605397950812,15.831447101088678,82.1,80,2580,0.031,4,1276.0,0.666,17.0,0,6.38,5,2,2,4,8,1,At Risk / Dormant,0,0.0369780505535609
C100063,Beauty & Fashion,Poland,122,8,34.26684149720609,28.567199556159675,130.5,43,208,0.2067,2,763.0,0.58,9.5,0,3.82,2,3,2,3,8,1,At Risk / Dormant,0,0.1483433694679787
C100064,Beauty & Fashion,Poland,636,7,39.39959354025537,132.05362968311456,607.0,75,1684,0.0445,8,1121.0,0.323,44.2,0,5.6,8,1,1,4,6,1,At Risk / Dormant,0,0.006398089755257259
C100065,Music & Dance,France,266,4,39.72863232555893,20.388454728561346,54.0,47,186,0.2527,2,293.0,0.414,72.1,0,1.46,0,4,1,1,6,3,Steady Core,0,0.6171645620341107
C100066,Gaming,France,81,13,66.11999793857177,52.753857843549724,755.8,11,50,0.22,5,1151.0,0.124,63.8,0,5.76,6,1,5,4,10,1,At Risk / Dormant,0,0.3064315797595472
C100067,Comedy & Lifestyle,France,486,8,33.81288238583805,214.81089390580135,968.5,7,54,0.1296,8,857.0,0.657,26.8,0,4.28,3,2,2,4,8,0,High-Reach Veterans,0,0.04478062256039754
C100068,Gaming,Poland,311,8,11.269659566303389,34.44032571807754,51.8,74,455,0.1626,6,530.0,0.312,15.6,0,2.65,2,3,2,2,7,3,Steady Core,0,0.08489955934806971
C100069,Cooking & Food,Spain,13,10,72.33485161227277,19.492913405895603,235.0,6,50,0.12,2,275.0,0.08,18.5,1,1.38,0,4,3,1,8,3,Steady Core,0,0.1425067893717165
C100070,Comedy & Lifestyle,Italy,372,9,34.60289008122027,159.35062259170272,827.1,118,378,0.3122,6,1449.0,0.265,2.8,1,7.24,1,4,2,5,11,0,High-Reach Veterans,0,0.28232086117535604
C100071,Beauty & Fashion,Italy,640,11,54.69754680637021,59.18065457623244,593.5,56,1724,0.0325,13,2849.0,0.303,15.4,2,14.24,6,1,4,5,10,1,At Risk / Dormant,0,0.0106998590872962
C100072,Gaming,Germany,529,10,67.28623515527565,50.252261653510274,563.5,199,2583,0.077,13,840.0,0.202,13.2,0,4.2,0,4,3,4,11,4,Star Creators,0,0.010068091298168342
C100073,Comedy & Lifestyle,Italy,354,8,56.55494688631908,195.96203069272693,1477.7,55,335,0.1642,6,2329.0,0.501,10.3,0,11.64,2,3,2,5,10,0,High-Reach Veterans,0,0.271748492647603
C100074,Comedy & Lifestyle,Italy,444,10,36.834030461944806,82.82057136351105,508.4,34,415,0.0819,6,1542.0,0.402,58.8,0,7.71,0,4,3,5,12,4,Star Creators,0,0.324750232348579
C100075,Comedy & Lifestyle,France,221,9,45.19531314283242,28.315663155302307,192.0,52,440,0.1182,3,281.0,0.265,9.4,0,1.4,2,3,2,1,6,3,Steady Core,0,0.03629445782572085
C100076,Comedy & Lifestyle,France,435,11,18.264698889490006,180.4706650645171,604.3,161,2700,0.0596,5,1003.0,0.285,21.5,0,5.01,1,4,4,4,12,0,High-Reach Veterans,0,0.09778081083238596
C100077,Gaming,Poland,504,8,77.82265992872897,37.294410949581696,387.0,57,871,0.0654,11,578.0,0.655,36.0,0,2.89,1,4,2,3,9,4,Star Creators,0,0.061442621043499165
C100078,Beauty & Fashion,Germany,546,10,22.222910027259953,85.7996176580313,317.8,58,1204,0.0482,1,1325.0,0.14,26.2,0,6.62,6,1,3,4,8,1,At Risk / Dormant,0,0.008254882848496847
C100079,Gaming,UK,373,13,37.42978267066424,95.94843135500966,778.1,42,532,0.0789,7,1110.0,0.22,12.8,0,5.55,0,4,5,4,13,4,Star Creators,0,0.09822527870773821
C100080,Comedy & Lifestyle,Germany,319,13,41.95751690144432,43.73604638345498,397.6,27,497,0.0543,3,469.0,0.352,27.8,0,2.35,10,1,5,2,8,1,At Risk / Dormant,0,0.040114641580929596
C100081,Education/Talk,Germany,544,9,36.72724404519017,150.39749973110756,828.6,68,370,0.1838,7,1736.0,0.302,25.9,0,8.68,1,4,2,5,11,4,Star Creators,0,0.020408979954507453
C100082,Beauty & Fashion,Spain,60,9,25.14690076559909,19.427377522724814,73.3,29,105,0.2762,2,383.0,0.269,18.7,0,1.92,3,2,2,2,6,1,At Risk / Dormant,0,0.23030111811024748
C100083,Gaming,Poland,547,8,67.09810293698438,172.3940617827889,1542.3,201,2520,0.0798,14,6064.0,0.742,50.7,0,30.32,1,4,2,5,11,0,High-Reach Veterans,0,0.08547502322780458
C100084,Beauty & Fashion,Spain,473,11,49.254189252324196,67.5286839494003,609.8,36,880,0.0409,11,532.0,0.472,29.8,0,2.66,1,4,4,2,10,4,Star Creators,0,0.007711907777642398
C100085,Beauty & Fashion,Germany,170,5,39.8307080648854,21.281448127285717,70.6,86,477,0.1803,5,704.0,0.177,55.1,0,3.52,2,3,1,3,7,3,Steady Core,0,0.19765002174634833
C100086,Comedy & Lifestyle,Germany,340,14,33.357709784056055,77.75423882123698,605.2,58,511,0.1135,6,1118.0,0.493,44.1,0,5.59,4,2,5,4,11,4,Star Creators,0,0.2270454033817836
C100087,Education/Talk,Germany,553,15,56.06055188543377,118.48124453789603,1660.5,90,2255,0.0399,9,278.0,0.378,16.6,1,1.39,8,1,5,1,7,1,At Risk / Dormant,0,0.011087855940134592
C100088,Cooking & Food,Italy,354,9,26.63132198291969,9.961422895405537,39.8,26,502,0.0518,7,393.0,0.137,40.4,0,1.96,8,1,2,2,5,1,At Risk / Dormant,0,0.055947326975745615
C100089,Music & Dance,Spain,279,9,76.1226408865874,185.06158607837278,2113.1,34,335,0.1015,4,640.0,0.463,69.1,0,3.2,1,4,2,3,9,0,High-Reach Veterans,0,0.7162566918386143
C100090,Gaming,Germany,726,8,44.00197647870169,112.59279360364889,660.6,54,1424,0.0379,11,1631.0,0.442,11.3,0,8.15,0,4,2,5,11,4,Star Creators,0,0.019310435193381544
C100091,Comedy & Lifestyle,France,420,11,61.46373134027933,59.21806754314988,667.3,80,395,0.2025,6,603.0,0.092,41.6,0,3.02,10,1,4,3,8,1,At Risk / Dormant,0,0.10202597504369383
C100092,Comedy & Lifestyle,Poland,506,5,38.28659937333319,111.84607792488003,356.9,23,743,0.031,7,1546.0,0.363,20.6,0,7.73,0,4,1,5,10,4,Star Creators,0,0.010858834343431118
C100093,Music & Dance,Poland,99,8,46.89489704979842,56.1930637397908,351.4,10,58,0.1724,1,238.0,0.317,103.9,0,1.19,8,1,2,1,4,1,At Risk / Dormant,0,0.6331096161156071
C100094,Comedy & Lifestyle,France,691,13,61.38851331016199,75.16359130451931,999.7,7,155,0.0452,6,898.0,0.245,33.8,0,4.49,0,4,5,4,13,4,Star Creators,0,0.008463734006794604
C100095,Music & Dance,Poland,85,8,88.28154046018666,66.5450514314688,783.3,37,170,0.2176,4,522.0,0.458,84.2,0,2.61,15,1,2,2,5,1,At Risk / Dormant,1,0.7142626856527153
C100096,Music & Dance,Italy,628,16,75.92715294134518,203.53907290465878,4121.1,20,340,0.0588,14,498.0,0.174,93.5,0,2.49,0,4,5,2,11,0,High-Reach Veterans,0,0.07420784980308329
C100097,Music & Dance,Italy,223,4,62.604125077868076,52.87709568907046,220.7,33,384,0.0859,5,1039.0,0.292,65.9,0,5.2,0,4,1,4,9,3,Steady Core,0,0.3796365032990122
C100098,Gaming,UK,364,10,52.60710179323674,5.373509468633053,47.1,12,171,0.0702,11,1163.0,0.336,25.7,0,5.82,2,3,3,4,10,4,Star Creators,0,0.15479417640811224
C100099,Gaming,UK,624,7,32.87492357532673,170.31235959062008,653.2,63,1414,0.0446,15,1610.0,0.134,25.2,0,8.05,4,2,1,5,8,0,High-Reach Veterans,0,0.01605769166304508
C100100,Gaming,UK,513,14,47.31413533989779,89.63589748977945,989.6,52,310,0.1677,11,1647.0,0.351,35.6,0,8.24,1,4,5,5,14,4,Star Creators,0,0.05340276286932852
C100101,Education/Talk,Poland,565,11,23.434688464053927,41.1363817055994,176.7,37,1388,0.0267,7,621.0,0.229,49.8,0,3.1,3,2,4,3,9,1,At Risk / Dormant,0,0.012070352136226864
C100102,Beauty & Fashion,Italy,187,7,40.63673200527161,66.24776821865977,314.1,41,450,0.0911,5,813.0,0.22,42.2,0,4.07,7,1,1,3,5,1,At Risk / Dormant,0,0.12795194336121385
C100103,Music & Dance,Italy,582,11,54.080987883524685,49.420652366066584,490.0,36,1174,0.0307,3,1600.0,0.093,90.7,0,8.0,6,1,4,5,10,1,At Risk / Dormant,0,0.07403203826936046
C100104,Cooking & Food,Italy,252,9,5.307956734078269,82.1981237988322,65.4,65,435,0.1494,4,123.0,0.181,24.6,0,0.62,8,1,2,1,4,1,At Risk / Dormant,0,0.06778878963572091
C100105,Beauty & Fashion,France,250,8,35.581079137875605,21.283599778726444,101.0,76,487,0.1561,6,206.0,0.306,28.6,0,1.03,0,4,2,1,7,3,Steady Core,0,0.08160259925101569
C100106,Music & Dance,Italy,512,11,53.59006053223755,67.11017998675646,659.3,122,2671,0.0457,7,3141.0,0.409,27.8,0,15.7,1,4,4,5,13,4,Star Creators,0,0.008719177653084996
C100107,Comedy & Lifestyle,France,428,11,38.806004964351864,17.204359852675765,122.4,48,1216,0.0395,5,759.0,0.382,23.1,0,3.8,3,2,4,3,9,1,At Risk / Dormant,0,0.0649838181512709
C100108,Beauty & Fashion,UK,326,7,40.37073258284856,39.362997782823825,185.4,62,1304,0.0475,7,943.0,0.289,28.6,1,4.72,5,2,1,4,7,1,At Risk / Dormant,0,0.054226990060345676
C100109,Gaming,UK,93,5,17.848999619586348,36.107783233367904,53.7,24,54,0.4444,4,628.0,0.361,43.4,2,3.14,0,4,1,3,8,2,Rising Talent,1,0.6753213813745994
C100110,Beauty & Fashion,Poland,223,8,23.362035416596118,50.310895613847975,156.7,47,469,0.1002,3,642.0,0.446,41.5,0,3.21,0,4,2,3,9,3,Steady Core,0,0.18342333424559676
C100111,Beauty & Fashion,UK,496,10,50.52407244745899,61.195104814542546,515.3,55,1414,0.0389,8,3296.0,0.325,64.5,0,16.48,10,1,3,5,9,1,At Risk / Dormant,0,0.018147230132651106
C100112,Cooking & Food,Poland,525,10,33.25814623545232,30.297144050789036,167.9,62,711,0.0872,3,1150.0,0.243,68.5,0,5.75,0,4,3,4,11,4,Star Creators,0,0.013724476483097077
C100113,Comedy & Lifestyle,Germany,284,8,46.11291242768217,62.11933850909415,381.9,104,968,0.1074,2,438.0,0.322,75.1,0,2.19,2,3,2,2,7,3,Steady Core,0,0.409986846835752
C100114,Education/Talk,Germany,728,11,29.482400848308455,69.90434698269303,377.8,11,156,0.0705,8,2001.0,0.238,95.8,0,10.01,0,4,4,5,13,4,Star Creators,0,0.060339773103569326
C100115,Comedy & Lifestyle,Spain,175,5,40.58627190152577,60.75091152142738,205.5,35,308,0.1136,5,450.0,0.393,34.1,0,2.25,5,2,1,2,5,1,At Risk / Dormant,0,0.16358402555710871
C100116,Comedy & Lifestyle,Poland,336,13,5.0,36.474043174518414,39.5,48,972,0.0494,7,914.0,0.343,18.9,0,4.57,7,1,5,4,10,1,At Risk / Dormant,0,0.03525019806857159
C100117,Beauty & Fashion,Spain,656,10,47.690179076311495,56.286461620036235,447.4,38,1523,0.025,11,1322.0,0.643,47.2,0,6.61,1,4,3,4,11,4,Star Creators,0,0.02996858336442976
C100118,Cooking & Food,Spain,447,12,59.0130429550727,87.94733872108274,1038.0,74,1607,0.046,10,1834.0,0.245,27.2,0,9.17,3,2,4,5,11,4,Star Creators,0,0.06189202570854787
C100119,Music & Dance,Germany,397,7,24.732157790314506,72.86973502976262,210.3,44,509,0.0864,4,1059.0,0.554,64.3,0,5.3,7,1,1,4,6,1,At Risk / Dormant,0,0.5347977531051078
C100120,Comedy & Lifestyle,Poland,502,10,24.02926976545995,22.196092183872036,88.9,35,844,0.0415,7,777.0,0.441,18.1,0,3.88,3,2,3,3,8,1,At Risk / Dormant,0,0.004207813676140155
C100121,Cooking & Food,Germany,387,8,39.53253854988412,164.90828770110332,869.2,50,1167,0.0428,2,1015.0,0.317,15.7,0,5.08,3,2,2,4,8,0,High-Reach Veterans,0,0.0592394153837515
C100122,Beauty & Fashion,Spain,312,7,57.10818935760119,100.9387277636787,672.5,114,1634,0.0698,1,1343.0,0.124,57.0,1,6.72,2,3,1,4,8,3,Steady Core,0,0.1742995052163908
C100123,Gaming,Poland,679,14,41.962248287106995,182.3991287022054,1785.9,290,6518,0.0445,16,3481.0,0.151,83.9,0,17.4,4,2,5,5,12,0,High-Reach Veterans,0,0.027105691649914523
C100124,Beauty & Fashion,Spain,519,12,16.560229687812438,16.42610009567356,54.4,46,1519,0.0303,4,1347.0,0.18,22.8,0,6.74,12,1,4,4,9,1,At Risk / Dormant,0,0.007949973954877322
C100125,Music & Dance,Italy,194,10,41.43196388556148,8.365644404508878,57.8,24,272,0.0882,4,1367.0,0.719,58.1,0,6.84,1,4,3,4,11,4,Star Creators,1,0.4948241622553013
C100126,Comedy & Lifestyle,Poland,522,11,22.483671614621574,173.25827672143086,714.2,52,1666,0.0312,13,1804.0,0.326,21.8,0,9.02,0,4,4,5,13,4,Star Creators,0,0.014064560840438419
C100127,Comedy & Lifestyle,Poland,650,12,28.712401448013605,41.46065557070684,238.1,14,570,0.0246,6,973.0,0.452,72.6,0,4.86,12,1,4,4,9,1,At Risk / Dormant,0,0.0355712387757383
C100128,Gaming,Spain,433,7,36.5272602152403,95.64273980258952,407.6,42,581,0.0723,5,915.0,0.496,48.2,0,4.58,0,4,1,4,9,3,Steady Core,0,0.3861116076183185
C100129,Music & Dance,Italy,508,13,27.37817052928827,64.46341900639935,382.4,8,243,0.0329,8,711.0,0.109,52.6,0,3.56,7,1,5,3,9,1,At Risk / Dormant,0,0.006576005447627081
C100130,Music & Dance,France,266,8,30.330838378595978,10.42417123497909,42.2,18,203,0.0887,5,385.0,0.207,55.7,0,1.92,9,1,2,2,5,1,At Risk / Dormant,0,0.2162015622924092
C100131,Beauty & Fashion,Germany,519,8,36.11801000333365,43.171813481367714,207.9,77,420,0.1833,12,431.0,0.539,52.7,0,2.16,0,4,2,2,8,3,Steady Core,0,0.06984564808018351
C100132,Gaming,Spain,77,5,45.870644618470145,59.88838924489139,228.9,10,50,0.2,2,209.0,0.324,17.4,0,1.04,2,3,1,1,5,3,Steady Core,0,0.09589465045906077
C100133,Beauty & Fashion,Poland,484,12,13.640294992685494,65.2130273666786,177.9,64,1133,0.0565,2,1177.0,0.257,21.3,0,5.88,0,4,4,4,12,4,Star Creators,0,0.011888918887544358
C100134,Cooking & Food,Germany,184,9,38.89843954575805,136.05954106993397,793.9,24,109,0.2202,1,51.0,0.116,15.8,0,0.26,1,4,2,1,7,3,Steady Core,0,0.07999648224188148
